sample_0,sample_1,sample_2
0.05,-5,0.1
0.05,-5,0.67
0.05,-5,1.24
0.05,-5,1.81
0.05,-4,0.1
0.05,-4,0.67
0.05,-4,1.24
0.05,-4,1.81
0.05,-3,0.1
0.05,-3,0.67
0.05,-3,1.24
0.05,-3,1.81
0.05,-2,0.1
0.05,-2,0.67
0.05,-2,1.24
0.05,-2,1.81
0.05,-1,0.1
0.05,-1,0.67
0.05,-1,1.24
0.05,-1,1.81
0.05,0,0.1
0.05,0,0.67
0.05,0,1.24
0.05,0,1.81
0.1,-5,0.1
0.1,-5,0.67
0.1,-5,1.24
0.1,-5,1.81
0.1,-4,0.1
0.1,-4,0.67
0.1,-4,1.24
0.1,-4,1.81
0.1,-3,0.1
0.1,-3,0.67
0.1,-3,1.24
0.1,-3,1.81
0.1,-2,0.1
0.1,-2,0.67
0.1,-2,1.24
0.1,-2,1.81
0.1,-1,0.1
0.1,-1,0.67
0.1,-1,1.24
0.1,-1,1.81
0.1,0,0.1
0.1,0,0.67
0.1,0,1.24
0.1,0,1.81
0.15,-5,0.1
0.15,-5,0.67
0.15,-5,1.24
0.15,-5,1.81
0.15,-4,0.1
0.15,-4,0.67
0.15,-4,1.24
0.15,-4,1.81
0.15,-3,0.1
0.15,-3,0.67
0.15,-3,1.24
0.15,-3,1.81
0.15,-2,0.1
0.15,-2,0.67
0.15,-2,1.24
0.15,-2,1.81
0.15,-1,0.1
0.15,-1,0.67
0.15,-1,1.24
0.15,-1,1.81
0.15,0,0.1
0.15,0,0.67
0.15,0,1.24
0.15,0,1.81
0.2,-5,0.1
0.2,-5,0.67
0.2,-5,1.24
0.2,-5,1.81
0.2,-4,0.1
0.2,-4,0.67
0.2,-4,1.24
0.2,-4,1.81
0.2,-3,0.1
0.2,-3,0.67
0.2,-3,1.24
0.2,-3,1.81
0.2,-2,0.1
0.2,-2,0.67
0.2,-2,1.24
0.2,-2,1.81
0.2,-1,0.1
0.2,-1,0.67
0.2,-1,1.24
0.2,-1,1.81
0.2,0,0.1
0.2,0,0.67
0.2,0,1.24
0.2,0,1.81
